企業名,ホームページURL,URL候補,企業ID,納品URL,ステータス,エラー詳細,品質チェック,品質チェック詳細,スクリーンショットパス
株式会社リンク・トラスト,https://linktrust.co.jp,https://linktrust.co.jp|https://ltgaisan.net/company/|https://linktrust-jp.com/company/|https://www.kotonear.com/linktrust/|http://linktrust-c.co.jp,linktrust,,エラー,生成完了検出後、FAQ実体がページに現れません (パターン一致: 1件、120s経過)。生成失敗 or 別企業のデータ残存疑い。スクショ: screenshots/gen_verify_fail_linktrust.png,,,
株式会社Mountain Bull,https://mountainbull.co.jp,https://mountainbull.co.jp|https://res-star.com|https://www.gourmetcaree.jp|https://xn--78jxc2b6641ae4c.com|https://adv.tokyo-np.co.jp,mountainbull,,エラー,生成完了検出後、FAQ実体がページに現れません (パターン一致: 1件、120s経過)。生成失敗 or 別企業のデータ残存疑い。スクショ: screenshots/gen_verify_fail_mountainbull.png,,,
日本製紙木材株式会社,https://www.np-l.co.jp,https://www.np-l.co.jp|https://www.nipponpapergroup.com|https://jet-npl.com|https://np-log.co.jp|https://www.nf-m.co.jp,np-l,,エラー,生成完了検出後、FAQ実体がページに現れません (パターン一致: 1件、120s経過)。生成失敗 or 別企業のデータ残存疑い。スクショ: screenshots/gen_verify_fail_np-l.png,,,
株式会社ベストランス,https://www.bestrans.co.jp,https://www.bestrans.co.jp|https://arwrk.net,bestrans,,エラー,生成完了検出後、FAQ実体がページに現れません (パターン一致: 1件、120s経過)。生成失敗 or 別企業のデータ残存疑い。スクショ: screenshots/gen_verify_fail_bestrans.png,,,
郵船クルーズ株式会社,https://www.asukacruise.co.jp,https://www.asukacruise.co.jp|https://plan.asukacruise.co.jp|https://myac.asukacruise.co.jp|https://jobs.asukacruise.co.jp|https://www.ytk.jp,asukacruise,,エラー,生成完了検出後、FAQ実体がページに現れません (パターン一致: 1件、120s経過)。生成失敗 or 別企業のデータ残存疑い。スクショ: screenshots/gen_verify_fail_asukacruise.png,,,
株式会社システムズプラン,https://systemsplan.co.jp,https://systemsplan.co.jp|https://www.systems-inc.co.jp|https://www.systemplan.co.jp/sitemap/,systemsplan,,エラー,生成完了検出後、FAQ実体がページに現れません (パターン一致: 1件、120s経過)。生成失敗 or 別企業のデータ残存疑い。スクショ: screenshots/gen_verify_fail_systemsplan.png,,,
株式会社ケーシーエスキャロット,https://www.carrot.co.jp,https://www.carrot.co.jp|https://www.kcscorp.jp|https://www.ei-den.com/company/,carrot,,エラー,生成完了検出後、FAQ実体がページに現れません (パターン一致: 1件、120s経過)。生成失敗 or 別企業のデータ残存疑い。スクショ: screenshots/gen_verify_fail_carrot.png,,,
アウトルックコンサルティング株式会社,https://www.outlook.co.jp,https://www.outlook.co.jp,outlook,,エラー,生成完了検出後、FAQ実体がページに現れません (パターン一致: 1件、120s経過)。生成失敗 or 別企業のデータ残存疑い。スクショ: screenshots/gen_verify_fail_outlook.png,,,
株式会社ピート,https://www.peetonline.com,https://www.peetonline.com|http://www.peet.co.jp|https://peet-recruit.jp,peetonline,,エラー,生成完了検出後、FAQ実体がページに現れません (パターン一致: 1件、120s経過)。生成失敗 or 別企業のデータ残存疑い。スクショ: screenshots/gen_verify_fail_peetonline.png,,,
株式会社エスプロシステム,https://www.s-pro.co.jp,https://www.s-pro.co.jp|https://m.esco-net.com,s-pro,,エラー,生成完了検出後、FAQ実体がページに現れません (パターン一致: 1件、120s経過)。生成失敗 or 別企業のデータ残存疑い。スクショ: screenshots/gen_verify_fail_s-pro.png,,,
