企業名,ホームページURL,URL候補,企業ID,納品URL,ステータス,エラー詳細,品質チェック,品質チェック詳細,スクリーンショットパス
独立行政法人国立高等専門学校機構,https://www.kosen-k.go.jp/,,kosen-k,,エラー,コンテンツ生成がタイムアウト (300.0秒),,,
日本港運株式会社,https://nipponkoun.co.jp/,,nipponkoun,,エラー,コンテンツ生成がタイムアウト (300.0秒),,,
SECカーボン株式会社,https://sec-carbon.com/,,sec-carbon,,エラー,コンテンツ生成がタイムアウト (300.0秒),,,
えひめ未来農業協同組合,https://ja-ehimemirai.or.jp/index.php,,ja-ehimemirai,,エラー,コンテンツ生成がタイムアウト (300.0秒),,,
株式会社エースシステムズ,https://www.acesystems.co.jp/,,acesystems,,エラー,コンテンツ生成がタイムアウト (300.0秒),,,
株式会社エレコン,https://elecon-kk.co.jp/,,elecon-kk,,エラー,コンテンツ生成がタイムアウト (300.0秒),,,
株式会社ききょう屋ソフト,https://kikyoya.co.jp/,,kikyoya,,エラー,コンテンツ生成がタイムアウト (300.0秒),,,
株式会社クア・アンド・ホテル,https://www.kur-hotel.co.jp/,,kur-hotel,,エラー,コンテンツ生成がタイムアウト (300.0秒),,,
株式会社シエル石油大阪発売所,https://www.shellhatu.com/,,shellhatu,,エラー,コンテンツ生成がタイムアウト (300.0秒),,,
株式会社マツオカコーポレーション,https://www.matuoka.co.jp/about/company/,,matuoka,,エラー,コンテンツ生成がタイムアウト (300.0秒),,,
株式会社関西東通,https://www.kansai-totsu.com/,,kansai-totsu,,企業追加済,,,,
株式会社正英製作所,https://www.shoei-mfg.co.jp/,,正英製作所,,URL特定済,,,,
株式会社北都鉄工,https://k-hokuto.co.jp/,,北都鉄工,,URL特定済,,,,
五洋商事株式会社,https://goyo.co.jp/,,五洋商事,,URL特定済,,,,
三木楽器株式会社,https://www.miki.co.jp/,,三木楽器,,URL特定済,,,,
社会福祉法人協同の苑,http://www.kyodo-no-sono.or.jp/,,協同の苑,,URL特定済,,,,
社会福祉法人神戸福生会,https://www.kobe-fukuseikai.com/,,神戸福生会,,URL特定済,,,,
社会福祉法人千ヶ峰会,http://www.sengaminekai.or.jp/,,千ヶ峰会,,URL特定済,,,,
日本レヂボン株式会社,https://www.resibon.co.jp/,,日本レヂボン,,URL特定済,,,,
兵庫南農業協同組合,https://www.ja-hyogominami.com/,,兵庫南農業協同組合,,URL特定済,,,,
木下物産株式会社,https://www.kinoshita-bussan.com/,,木下物産,,URL特定済,,,,
有限会社河島農具製作所,https://kawashima-group.com/,,河島農具製作所,,URL特定済,,,,
ササキセルム株式会社,https://www.sasakisellm.co.jp/,,ササキセルム,,URL特定済,,,,
サン・シールド株式会社,https://www.sunshield.co.jp/,,サン・シールド,,URL特定済,,,,
学校法人あさひ学園,https://www.asahi21.net/,,あさひ学園,,URL特定済,,,,
株式会社ABC,https://www.abc-p.jp/,,abc,,URL特定済,,,,
株式会社クレフォート,https://crefort.co.jp/company,,クレフォート,,URL特定済,,,,
株式会社パッションギークス,https://mum-holdings.co.jp/passion-geeks/,,パッションギークス,,URL特定済,,,,
株式会社桶庄,https://okesho-group.jp/,,桶庄,,URL特定済,,,,
株式会社八幡ねじ,https://yht.co.jp/,,八幡ねじ,,URL特定済,,,,
株式会社北日本テクノス,https://nj-technos.co.jp/,,北日本テクノス,,URL特定済,,,,
九州伊藤精工株式会社,https://www.itohseiko.jp/group,,九州伊藤精工,,URL特定済,,,,
原田車両設計株式会社,https://www.hvd.co.jp/,,原田車両設計,,URL特定済,,,,
高雄工業株式会社,https://www.takao-net.co.jp/,,高雄工業,,URL特定済,,,,
茶久染色株式会社,https://chakyu.co.jp/,,茶久染色,,URL特定済,,,,
東海インプル建設株式会社,https://tokai-ic.com/,,東海インプル建設,,URL特定済,,,,
未来工業株式会社,https://www.mirai.co.jp/,,未来工業,,URL特定済,,,,
Jotoホールディングス株式会社,https://www.jotohd.com/,,Jotoホールディングス,,URL特定済,,,,
KTオフィス司法書士法人,https://kt-office.co.jp/about-us/,,KTオフィス,,URL特定済,,,,
NX・NPロジスティクス株式会社,https://www.nplc.co.jp/,,NX・NPロジスティクス,,URL特定済,,,,
アオイ電子株式会社,https://www.aoi-electronics.co.jp/,,アオイ電子,,URL特定済,,,,
いすゞ自動車中国四国株式会社,https://isuzu-chushi.co.jp/,,いすゞ自動車中国四国,,URL特定済,,,,
ジャパンエステート株式会社,https://japanestate.page/,,ジャパンエステート,,URL特定済,,,,
ミカサ商事株式会社,https://www.mikasa.co.jp/,,ミカサ商事,,URL特定済,,,,
株式会社アドバンスト・メディア,https://www.advanced-media.co.jp/,,アドバンスト・メディア,,URL特定済,,,,
株式会社ウインウイン,https://winwin-ad.com/company/overview/,,ウインウイン,,URL特定済,,,,
株式会社おもれい,https://www.omorey.com/,,おもれい,,URL特定済,,,,
株式会社カミタケモータース,https://www.kamitake.net/,,カミタケモータース,,URL特定済,,,,
株式会社キリン堂,https://www.kirindo.co.jp/,,キリン堂,,URL特定済,,,,
株式会社コーアツ,https://www.koatsu.co.jp/,,コーアツ,,URL特定済,,,,
