企業名,納品URL
独立行政法人国立高等専門学校機構,https://casual-interview-dev.brainverse-ai.com/kosen-k
日本港運株式会社,https://casual-interview-dev.brainverse-ai.com/nipponkoun
SECカーボン株式会社,https://casual-interview-dev.brainverse-ai.com/sec-carbon
えひめ未来農業協同組合,https://casual-interview-dev.brainverse-ai.com/ja-ehimemirai
株式会社エースシステムズ,https://casual-interview-dev.brainverse-ai.com/acesystems
株式会社エレコン,https://casual-interview-dev.brainverse-ai.com/elecon-kk
株式会社ききょう屋ソフト,https://casual-interview-dev.brainverse-ai.com/kikyoya
株式会社クア・アンド・ホテル,https://casual-interview-dev.brainverse-ai.com/kur-hotel
株式会社シエル石油大阪発売所,https://casual-interview-dev.brainverse-ai.com/shellhatu
株式会社マツオカコーポレーション,https://casual-interview-dev.brainverse-ai.com/matuoka
株式会社関西東通,[推定] https://casual-interview-dev.brainverse-ai.com/kansai-totsu
株式会社北都鉄工,https://casual-interview-dev.brainverse-ai.com/k-hokuto
五洋商事株式会社,https://casual-interview-dev.brainverse-ai.com/goyo
