企業名,ホームページURL,URL候補,企業ID,納品URL,ステータス,エラー詳細,スクリーンショットパス
株式会社クレーネル,,https://claynel.jp|https://www.sme.co.jp,クレーネル,,スキップ,ユーザー指示によりスキップ,
株式会社カークリニックアキヤマ,https://akiyama-group.com,https://akiyama-group.com|https://589kobac.co.jp|https://kei-ichiman.com|https://www.c-c-akiyama.com|https://akiyama-group-recruit.com,akiyama-group,https://casual-interview-dev.brainverse-ai.com/akiyama-group,完了,,C:\Users\NC00018174\Desktop\DOCdemo_update_project\screenshots\img_akiyama-group_com_20260511_132824.jpg
株式会社テラ,https://www.terracom.co.jp,https://www.terracom.co.jp|https://www.terra-network.co.jp|https://www.cdn-tera.co.jp|https://teracoffee.jp|https://terra-ltd.co.jp,terracom,https://casual-interview-dev.brainverse-ai.com/terracom,完了,,C:\Users\NC00018174\Desktop\DOCdemo_update_project\screenshots\img_www_terracom_co_jp_20260511_133337.jpg
株式会社ユーコー,https://www.yuko-lucky.com,https://www.yuko-lucky.com|https://yu-ko-jp.com|http://www.you-coh.co.jp/company.html|https://www.yu-ko-oki.co.jp|http://www.yu-ko-denki.co.jp,yuko-lucky,https://casual-interview-dev.brainverse-ai.com/yuko-lucky,完了,,C:\Users\NC00018174\Desktop\DOCdemo_update_project\screenshots\img_www_yuko-lucky_com_20260511_133827.jpg
株式会社松崎ハウジング,https://www.matuzaki.co.jp,https://www.matuzaki.co.jp|https://www.matsuzakihousing.jp|https://www.pitat.com|https://www.rakumachi.jp,matuzaki,https://casual-interview-dev.brainverse-ai.com/matuzaki,完了,,C:\Users\NC00018174\Desktop\DOCdemo_update_project\screenshots\img_www_matuzaki_co_jp_20260511_134403.jpg
ハミューレ株式会社,https://www.hamure.co.jp,https://www.hamure.co.jp|https://recruit.hamure.co.jp|https://saiyo.page/557197|https://prono.jp,hamure,https://casual-interview-dev.brainverse-ai.com/hamure,完了,,C:\Users\shofu\Desktop\neo-career\DOCdemo_update_project\screenshots\img_www_hamure_co_jp_20260512_081409.jpg
宇津商事株式会社,https://www.utsu-corp.com,https://www.utsu.co.jp|https://www.utsu-corp.com|https://www.utsu-saiyou.jp|https://www.utsu-saiyou.com/recruit,utsu-corp,https://casual-interview-dev.brainverse-ai.com/utsu-corp,完了,,C:\Users\NC00018174\Desktop\DOCdemo_update_project\screenshots\img_www_utsu-corp_com_20260512_162717.jpg
株式会社スイート・ピア,https://www.sweetpea-net.com,https://www.sweetpea-net.com|https://sp.sweetpea-net.com,sweetpea-net,https://casual-interview-dev.brainverse-ai.com/sweetpea-net,完了,,C:\Users\shofu\Desktop\neo-career\DOCdemo_update_project\screenshots\img_www_sweetpea-net_com_20260512_081915.jpg
オリジン工業株式会社,https://www.oin.co.jp,https://www.oin.co.jp|http://orijin-id.jp|https://shukatsu-line.pref.toyama.lg.jp,oin,https://casual-interview-dev.brainverse-ai.com/oin,完了,,C:\Users\shofu\Desktop\neo-career\DOCdemo_update_project\screenshots\img_www_oin_co_jp_20260512_082353.jpg
株式会社日産サティオ富山,https://www.ns-toyama-nissan.net,https://ns-toyama.nissan-dealer.jp|https://www.ns-toyama-nissan.net|https://u-car.nissan.co.jp|https://www.nissan-st-tn.jp,ns-toyama-nissan,https://casual-interview-dev.brainverse-ai.com/ns-toyama-nissan,完了,,C:\Users\shofu\Desktop\neo-career\DOCdemo_update_project\screenshots\img_www_ns-toyama-nissan_net_20260512_082830.jpg
松文産業株式会社,https://matsubun.co.jp,https://matsubun.co.jp|http://recruit.matsubun.co.jp,matsubun,https://casual-interview-dev.brainverse-ai.com/matsubun,完了,,C:\Users\shofu\Desktop\neo-career\DOCdemo_update_project\screenshots\img_matsubun_co_jp_20260512_083233.jpg
三信住建株式会社,https://www.sanshinjyuken.com,https://www.sanshinjyuken.com|https://recruit.sanshinjyuken.com,sanshinjyuken,https://casual-interview-dev.brainverse-ai.com/sanshinjyuken,完了,,C:\Users\shofu\Desktop\neo-career\DOCdemo_update_project\screenshots\img_www_sanshinjyuken_com_20260512_083649.jpg
タカノフーズ株式会社,https://www.takanofoods.co.jp,https://www.takanofoods.co.jp|https://takanofoods-mileagecp.com,takanofoods,https://casual-interview-dev.brainverse-ai.com/takanofoods,完了,,C:\Users\shofu\Desktop\neo-career\DOCdemo_update_project\screenshots\img_www_takanofoods_co_jp_20260512_084033.jpg
住商レジデンシャル株式会社,https://www.sumisho-resi.co.jp,https://www.sumisho-resi.co.jp|https://www.sumisho-tatemono.co.jp,sumisho-resi,https://casual-interview-dev.brainverse-ai.com/sumisho-resi,完了,,C:\Users\NC00018174\Desktop\DOCdemo_update_project\screenshots\img_www_sumisho-resi_co_jp_20260512_105320.jpg
プライムナンバーズ株式会社,https://primenumbers.co.jp,https://primenumbers.co.jp|http://www.prime-numbers.co.jp|https://primenumber.com,primenumbers,https://casual-interview-dev.brainverse-ai.com/primenumbers,完了,,C:\Users\NC00018174\Desktop\DOCdemo_update_project\screenshots\img_primenumbers_co_jp_20260512_105837.jpg
