企業名,ホームページURL,URL候補,企業ID,納品URL,ステータス,エラー詳細,スクリーンショットパス
ハミューレ株式会社,https://www.hamure.co.jp,https://www.hamure.co.jp|https://recruit.hamure.co.jp|https://saiyo.page/557197|https://prono.jp,hamure,https://casual-interview-dev.brainverse-ai.com/hamure,完了,,C:\Users\shofu\Desktop\neo-career\DOCdemo_update_project\screenshots\img_www_hamure_co_jp_20260512_081409.jpg
宇津商事株式会社,https://www.utsu.co.jp,https://www.utsu.co.jp|https://www.utsu-corp.com|https://www.utsu-saiyou.jp|https://www.utsu-saiyou.com/recruit,utsu,,エラー,"ヘッダーに対象企業名/IDが見つかりません: name=宇津商事株式会社, id=utsu, スクショ: screenshots/title_warn_utsu.png",C:\Users\shofu\Desktop\neo-career\DOCdemo_update_project\screenshots\img_www_utsu_co_jp_20260512_081825.jpg
株式会社スイート・ピア,https://www.sweetpea-net.com,https://www.sweetpea-net.com|https://sp.sweetpea-net.com,sweetpea-net,https://casual-interview-dev.brainverse-ai.com/sweetpea-net,完了,,C:\Users\shofu\Desktop\neo-career\DOCdemo_update_project\screenshots\img_www_sweetpea-net_com_20260512_081915.jpg
オリジン工業株式会社,https://www.oin.co.jp,https://www.oin.co.jp|http://orijin-id.jp|https://shukatsu-line.pref.toyama.lg.jp,oin,https://casual-interview-dev.brainverse-ai.com/oin,完了,,C:\Users\shofu\Desktop\neo-career\DOCdemo_update_project\screenshots\img_www_oin_co_jp_20260512_082353.jpg
株式会社日産サティオ富山,https://www.ns-toyama-nissan.net,https://ns-toyama.nissan-dealer.jp|https://www.ns-toyama-nissan.net|https://u-car.nissan.co.jp|https://www.nissan-st-tn.jp,ns-toyama-nissan,,エラー,フロントエンドアプリのURLが取得できませんでした。ボタンまたはリンクが見つかりません。,C:\Users\shofu\Desktop\neo-career\DOCdemo_update_project\screenshots\img_www_ns-toyama-nissan_net_20260512_082830.jpg
松文産業株式会社,https://matsubun.co.jp,https://matsubun.co.jp|http://recruit.matsubun.co.jp,matsubun,https://casual-interview-dev.brainverse-ai.com/matsubun,完了,,C:\Users\shofu\Desktop\neo-career\DOCdemo_update_project\screenshots\img_matsubun_co_jp_20260512_083233.jpg
三信住建株式会社,https://www.sanshinjyuken.com,https://www.sanshinjyuken.com|https://recruit.sanshinjyuken.com,sanshinjyuken,https://casual-interview-dev.brainverse-ai.com/sanshinjyuken,完了,,C:\Users\shofu\Desktop\neo-career\DOCdemo_update_project\screenshots\img_www_sanshinjyuken_com_20260512_083649.jpg
タカノフーズ株式会社,https://www.takanofoods.co.jp,https://www.takanofoods.co.jp|https://takanofoods-mileagecp.com,takanofoods,,エラー,フロントエンドアプリのURLが取得できませんでした。ボタンまたはリンクが見つかりません。,C:\Users\shofu\Desktop\neo-career\DOCdemo_update_project\screenshots\img_www_takanofoods_co_jp_20260512_084033.jpg
住商レジデンシャル株式会社,https://www.sumisho-resi.co.jp,https://www.sumisho-resi.co.jp|https://www.sumisho-tatemono.co.jp,sumisho-resi,,URL特定済,,
プライムナンバーズ株式会社,https://primenumbers.co.jp,https://primenumbers.co.jp|http://www.prime-numbers.co.jp|https://primenumber.com,プライムナンバーズ,,同名企業該当,,
株式会社日本デリカサービス,https://www.nippon-delica.co.jp,https://www.nippon-delica.co.jp,nippon-delica,,エラー,フロントエンドアプリのURLが取得できませんでした。ボタンまたはリンクが見つかりません。,C:\Users\shofu\Desktop\neo-career\DOCdemo_update_project\screenshots\img_www_nippon-delica_co_jp_20260512_074039.jpg
株式会社ハイシンクジャパン,https://www.jhcc.co.jp,https://www.jhcc.co.jp|https://hi-thinkjapan.snar.jp,ハイシンクジャパン,,同名企業該当,,
株式会社サンカツ,http://www.ajiko-bo.co.jp,http://www.ajiko-bo.co.jp|https://sankatsu-zome.com|https://www.swallowchain.com|http://www.sankatsu.jp|https://www.nsouzai-kyoukai.or.jp,サンカツ,,同名企業該当,,
株式会社カシックス,https://www.kasix.co.jp,https://www.kasix.co.jp|http://www.kasix.jp,kasix,,エラー,フロントエンドアプリのURLが取得できませんでした。ボタンまたはリンクが見つかりません。,C:\Users\shofu\Desktop\neo-career\DOCdemo_update_project\screenshots\shot_www_kasix_co_jp_20260512_074558.png
株式会社Rezard,,https://rezard.jp|https://rezard.shop|https://www.rezardfilm.com,rezard,,同名企業該当,URL内の企業IDが完全一致しない候補が 3 種類検出されました。「ホームページURL」列に正しいURLを入力して再実行してください。,
茨城トヨタ自動車株式会社,https://www.ibaraki-toyota.jp,https://www.ibaraki-toyota.jp|https://toyota.jp|https://www.corolla-si.com|https://ibaraki-toyopet-saiyo.jp,茨城トヨタ自動車,,同名企業該当,,
株式会社マーストーケンソリューション,https://www.mars-tohken.co.jp,https://www.mars-tohken.co.jp,mars-tohken,,エラー,フロントエンドアプリのURLが取得できませんでした。ボタンまたはリンクが見つかりません。,C:\Users\shofu\Desktop\neo-career\DOCdemo_update_project\screenshots\img_www_mars-tohken_co_jp_20260512_075217.jpg
冨士機材株式会社,https://www.fujikizai-g.co.jp,https://www.fujikizai-g.co.jp|https://ni-works.jp|https://www.home-eng.co.jp,冨士機材,,同名企業該当,,
川崎信用金庫,https://www.kawashin.co.jp,https://www.kawashin.co.jp|https://www11.ib.shinkin-ib.jp|https://www.kawashin-saiyo.com|https://www.city.kawasaki.jp|https://e-town.ne.jp,川崎信用金庫,,同名企業該当,,
レジェンダ・コーポレーション株式会社,https://www.leggenda.co.jp,https://www.leggenda.co.jp|https://careers.leggenda.co.jp,レジェンダ・コーポレーション,,同名企業該当,,
西武建設株式会社,https://www.seibu-const.co.jp,https://www.seibu-const.co.jp,seibu-const,https://casual-interview-dev.brainverse-ai.com/seibu-const,完了,,C:\Users\shofu\Desktop\neo-career\DOCdemo_update_project\screenshots\img_www_seibu-const_co_jp_20260512_034325.jpg
株式会社デザインネットワーク,https://www.design-network.co.jp,https://www.design-network.co.jp|https://dn-recruit.co.jp|https://dn-okinawa.com,デザインネットワーク,,同名企業該当,,
一般財団法人ボーケン品質評価機構,https://www.boken.or.jp,https://www.boken.or.jp,boken,https://casual-interview-dev.brainverse-ai.com/boken,完了,,C:\Users\shofu\Desktop\neo-career\DOCdemo_update_project\screenshots\img_www_boken_or_jp_20260512_034737.jpg
株式会社アーベルソフト,https://www.abelsoft.co.jp,https://www.abelsoft.co.jp|http://www.abelsoftware-jp.com/main.html|https://iotbank.co.jp,アーベルソフト,,同名企業該当,,
株式会社ナガオ,https://nagao-group.co.jp,https://nagao-group.co.jp|https://www.nagaotrading.com|https://longtail-nagao.com|https://www.n-nagao.co.jp|https://nagaosh.com,ナガオ,,同名企業該当,,
株式会社アクセル・モード,https://www.axcel-mode.co.jp,https://www.axcel-mode.co.jp|https://page.line.me/lul2809m,アクセル・モード,,同名企業該当,,
株式会社ホンダカーズ久喜,https://www.hondacars-kuki.co.jp,https://www.hondacars-kuki.co.jp|https://shopsearch.honda.co.jp,ホンダカーズ久喜,,同名企業該当,,
アオイ環境株式会社,https://aoikankyo.co.jp,https://aoikankyo.co.jp|http://www.aoi-inc.co.jp/action_plan.htm,アオイ環境,,同名企業該当,,
レキオスソフト株式会社,https://www.lequiossoft.co.jp,https://www.lequiossoft.co.jp,lequiossoft,https://casual-interview-dev.brainverse-ai.com/lequiossoft,完了,,C:\Users\shofu\Desktop\neo-career\DOCdemo_update_project\screenshots\img_www_lequiossoft_co_jp_20260512_062509.jpg
株式会社グラノプト,https://www.granopt.jp,https://www.granopt.jp|https://www.mgc.co.jp|https://www.pref.akita.lg.jp,グラノプト,,同名企業該当,,
