company_name,homepage
オオスズ技研株式会社,
ジェイティプラントサービス株式会社,https://www.jtps.co.jp/company/index.html
浜松鋼板加工株式会社,
株式会社ヤタロー,
株式会社ブティック・ビギ,https://www.boutique-bigi.jp/company/
オークラアクトシティホテルマネジメント株式会社,"https://okura.com/ja/about-us/corporate-overview/#:~:text=2015%E5%B9%B410%E6%9C%881,%E3%83%9E%E3%83%8D%E3%82%B8%E3%83%A1%E3%83%B3%E3%83%88%E3%81%A8%E3%81%84%E3%81%9F%E3%81%97%E3%81%BE%E3%81%97%E3%81%9F%E3%80%82"
サゴーエンタプライズ株式会社,
引佐観光開発株式会社,https://www.city.hamamatsu.shizuoka.jp/chusankan/tyusankan/chiikisyokai/inasa.html
株式会社岡畑農園,
株式会社小森組,
株式会社サイバーリンクス,
中田食品株式会社,https://www.nakatafoods.co.jp/kisyu_ume_no_sato_
大和歯車製作株式会社,
紀南段ボール株式会社,https://kinan-db.co.jp/company/
株式会社アステムソリューション,https://www.astemf.jp/company/outline.php
株式会社ヤマヨテクスタイル,http://yamayotex.co.jp/corporate/
株式会社カナセ,https://www.wakayama-uiturn.jp/highschool/recruit/page/?slug=kanase
株式会社白浜館,
株式会社カンノ製作所,
株式会社まちだ,
株式会社直方建機,
株式会社平島,https://hirashima-roof.com/about/
谷弥石油株式会社,
社会福祉法人清浄会,https://www.seikikai.net/houjin/
トヨテツ福岡株式会社,https://www.buffett-code.com/company/706f016ana/
株式会社KTネットワーク,
株式会社福設,
麻生介護サービス株式会社,https://www.aso-kaigo.jp/company/
黒崎播磨株式会社,https://www.krosaki.co.jp/company
日鉄物流株式会社,https://www.log.nipponsteel.com/about_us/office/
株式会社ネットワークソリューション,https://www.nw-solution.co.jp/company/
株式会社パロマ,"https://www.pcc-paloma.jp/contact/#:~:text=%E3%81%8A%E9%9B%BB%E8%A9%B1%E3%81%84%E3%81%9F%E3%81%A0%E3%81%8F%E5%89%8D%E3%81%AE%E6%B3%A8%E6%84%8F%E4%BA%8B%E9%A0%85&text=%E4%BF%AE%E7%90%86%E3%81%A7%E3%81%8A%E6%80%A5%E3%81%8E%E3%81%AE,%E3%81%BE%E3%81%99%E3%82%88%E3%81%86%E3%81%8A%E9%A1%98%E3%81%84%E7%94%B3%E3%81%97%E4%B8%8A%E3%81%92%E3%81%BE%E3%81%99%E3%80%82&text=%E5%8F%97%E4%BB%98%E5%AE%8C%E4%BA%86%E5%BE%8C%E3%80%81%E3%82%B5%E3%83%BC%E3%83%93%E3%82%B9%E6%8B%85%E5%BD%93,%E3%81%AE%E3%81%BB%E3%81%A9%E3%81%8A%E9%A1%98%E3%81%84%E7%94%B3%E3%81%97%E4%B8%8A%E3%81%92%E3%81%BE%E3%81%99%E3%80%82"
九州小島株式会社,"https://en-hyouban.com/company/10096519895/salary/#:~:text=%E4%B9%9D%E5%B7%9E%E5%B0%8F%E5%B3%B6%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%81%AE%E8%A9%95%E5%88%A4%E3%83%BB%E5%8F%A3%E3%82%B3%E3%83%9F%20%E5%B9%B4%E5%8F%8E%E3%83%BB%E7%B5%A6%E4%B8%8E&text=%E7%B5%A6%E4%B8%8E%E5%88%B6%E5%BA%A6%3A,%E3%81%8A%E8%82%89%E3%81%8C%E8%B2%B0%E3%81%88%E3%81%BE%E3%81%99%E3%80%82"
株式会社ドラッグストアモリ,https://www.doramori.co.jp/company/group/#:~:text=%E3%83%8A%E3%83%81%E3%83%A5%E3%83%A9%E3%83%AB%E3%83%9B%E3%83%BC%E3%83%AB%E3%83%87%E3%82%A3%E3%83%B3%E3%82%B0%E3%82%B9%EF%BD%9C%E3%83%89%E3%83%A9%E3%83%83%E3%82%B0%E3%82%B9%E3%83%88%E3%82%A2%E3%83%A2%E3%83%AA
五楽信和工業株式会社,
日本ファインテック株式会社,"https://www.f-finetec.co.jp/#:~:text=%E3%83%95%E3%82%A1%E3%82%A4%E3%83%B3%E3%83%86%E3%83%83%E3%82%AF%E3%81%AF%E4%B8%96%E7%95%8C%E4%B8%80,%E3%82%92%E6%8F%90%E4%BE%9B%E3%81%99%E3%82%8B%E4%BC%81%E6%A5%AD%E3%81%A7%E3%81%99%E3%80%82"
株式会社錦城,
株式会社森建設,
指宿食品株式会社,https://www.iza.ne.jp/article/20250304-3YWVEYUS5NEEFPIQ2RUJGFLH3U/
社会福祉法人希望の風福祉会,https://www.fujimisou.or.jp/corporation/
株式会社指宿白水館,https://www.hakusuikan.co.jp/5399/
株式会社ホンダさつま,https://www.hondacars-satsuma.co.jp/home/sr02.html
薩摩ハム株式会社,https://satsumaham.co.jp/%E5%95%86%E5%93%81%E7%B4%B9%E4%BB%8B/
株式会社コーアガス日本,
株式会社新興エコ,
株式会社奈良,
株式会社大新,
株式会社指宿フェニックスホテル,
井上産業株式会社,
薩摩コンクリート株式会社,
薩南建材株式会社,
社会福祉法人あやの会,
社会福祉法人光陽福祉会,
社会福祉法人あすなろ福祉会,
社会福祉法人大川福祉会,
社会福祉法人休道福祉会,
社会福祉法人敬仁会,
社会福祉法人敬和会,
社会福祉法人更生会,
