企業名,ホームページ,判明した担当者名,肩書き,判定区分,信頼スコア,出典URL,推奨トーク案
オオスズ技研株式会社,,採用担当者（要確認）,採用窓口,要確認候補,1,,オオスズ技研株式会社様の採用情報を拝見し、採用窓口の採用担当者（要確認）様にお力添えできる内容がありご連絡しました。
浜松鋼板加工株式会社,,採用担当者（要確認）,採用窓口,要確認候補,1,,浜松鋼板加工株式会社様の採用情報を拝見し、採用窓口の採用担当者（要確認）様にお力添えできる内容がありご連絡しました。
株式会社ヤタロー,,採用担当者（要確認）,採用窓口,要確認候補,1,,株式会社ヤタロー様の採用情報を拝見し、採用窓口の採用担当者（要確認）様にお力添えできる内容がありご連絡しました。
株式会社ブティック・ビギ,https://www.boutique-bigi.jp/company/,採用担当者（要確認）,採用窓口,要確認候補,1,https://www.boutique-bigi.jp/company/,株式会社ブティック・ビギ様の採用情報を拝見し、採用窓口の採用担当者（要確認）様にお力添えできる内容がありご連絡しました。
サゴーエンタプライズ株式会社,,採用担当者（要確認）,採用窓口,要確認候補,1,,サゴーエンタプライズ株式会社様の採用情報を拝見し、採用窓口の採用担当者（要確認）様にお力添えできる内容がありご連絡しました。
引佐観光開発株式会社,https://www.plus-web.co.jp/guide/?a=5368,採用担当者（要確認）,採用窓口,要確認候補,1,https://www.plus-web.co.jp/guide/?a=5368,引佐観光開発株式会社様の採用情報を拝見し、採用窓口の採用担当者（要確認）様にお力添えできる内容がありご連絡しました。
株式会社岡畑農園,,採用担当者（要確認）,採用窓口,要確認候補,1,,株式会社岡畑農園様の採用情報を拝見し、採用窓口の採用担当者（要確認）様にお力添えできる内容がありご連絡しました。
株式会社小森組,,採用担当者（要確認）,採用窓口,要確認候補,1,,株式会社小森組様の採用情報を拝見し、採用窓口の採用担当者（要確認）様にお力添えできる内容がありご連絡しました。
株式会社サイバーリンクス,,採用担当者（要確認）,採用窓口,要確認候補,1,,株式会社サイバーリンクス様の採用情報を拝見し、採用窓口の採用担当者（要確認）様にお力添えできる内容がありご連絡しました。
大和歯車製作株式会社,,採用担当者（要確認）,採用窓口,要確認候補,1,,大和歯車製作株式会社様の採用情報を拝見し、採用窓口の採用担当者（要確認）様にお力添えできる内容がありご連絡しました。
紀南段ボール株式会社,https://kinan-db.co.jp/company/,取得 当社,採用関連担当,要確認候補,10,https://kinan-db.co.jp/personal-information-2/,紀南段ボール株式会社様の採用情報を拝見し、採用関連担当の取得 当社様にお力添えできる内容がありご連絡しました。
紀南段ボール株式会社,https://kinan-db.co.jp/company/,取得,採用関連担当,要確認候補,10,https://kinan-db.co.jp/personal-information-2/,紀南段ボール株式会社様の採用情報を拝見し、採用関連担当の取得様にお力添えできる内容がありご連絡しました。
紀南段ボール株式会社,https://kinan-db.co.jp/company/,場合,採用関連担当,要確認候補,10,https://kinan-db.co.jp/personal-information-2/,紀南段ボール株式会社様の採用情報を拝見し、採用関連担当の場合様にお力添えできる内容がありご連絡しました。
株式会社ヤマヨテクスタイル,http://yamayotex.co.jp/corporate/,採用担当者（要確認）,採用窓口,要確認候補,1,http://yamayotex.co.jp/corporate/,株式会社ヤマヨテクスタイル様の採用情報を拝見し、採用窓口の採用担当者（要確認）様にお力添えできる内容がありご連絡しました。
株式会社カナセ,https://www.wakayama-uiturn.jp/highschool/recruit/page/?slug=kanase,採用担当者（要確認）,採用窓口,要確認候補,1,https://www.wakayama-uiturn.jp/highschool/recruit/page/?slug=kanase,株式会社カナセ様の採用情報を拝見し、採用窓口の採用担当者（要確認）様にお力添えできる内容がありご連絡しました。
株式会社白浜館,,採用担当者（要確認）,採用窓口,要確認候補,1,,株式会社白浜館様の採用情報を拝見し、採用窓口の採用担当者（要確認）様にお力添えできる内容がありご連絡しました。
株式会社カンノ製作所,,採用担当者（要確認）,採用窓口,要確認候補,1,,株式会社カンノ製作所様の採用情報を拝見し、採用窓口の採用担当者（要確認）様にお力添えできる内容がありご連絡しました。
株式会社まちだ,,採用担当者（要確認）,採用窓口,要確認候補,1,,株式会社まちだ様の採用情報を拝見し、採用窓口の採用担当者（要確認）様にお力添えできる内容がありご連絡しました。
株式会社直方建機,,採用担当者（要確認）,採用窓口,要確認候補,1,,株式会社直方建機様の採用情報を拝見し、採用窓口の採用担当者（要確認）様にお力添えできる内容がありご連絡しました。
谷弥石油株式会社,,採用担当者（要確認）,採用窓口,要確認候補,1,,谷弥石油株式会社様の採用情報を拝見し、採用窓口の採用担当者（要確認）様にお力添えできる内容がありご連絡しました。
トヨテツ福岡株式会社,https://www.buffett-code.com/company/706f016ana/,採用担当者（要確認）,採用窓口,要確認候補,1,https://www.buffett-code.com/company/706f016ana/,トヨテツ福岡株式会社様の採用情報を拝見し、採用窓口の採用担当者（要確認）様にお力添えできる内容がありご連絡しました。
株式会社KTネットワーク,,採用担当者（要確認）,採用窓口,要確認候補,1,,株式会社KTネットワーク様の採用情報を拝見し、採用窓口の採用担当者（要確認）様にお力添えできる内容がありご連絡しました。
株式会社福設,,採用担当者（要確認）,採用窓口,要確認候補,1,,株式会社福設様の採用情報を拝見し、採用窓口の採用担当者（要確認）様にお力添えできる内容がありご連絡しました。
株式会社ネットワークソリューション,https://www.nw-solution.co.jp/company/,期間中,採用関連担当,要確認候補,10,https://www.nw-solution.co.jp/news/,株式会社ネットワークソリューション様の採用情報を拝見し、採用関連担当の期間中様にお力添えできる内容がありご連絡しました。
株式会社パロマ,"https://www.pcc-paloma.jp/contact/#:~:text=%E3%81%8A%E9%9B%BB%E8%A9%B1%E3%81%84%E3%81%9F%E3%81%A0%E3%81%8F%E5%89%8D%E3%81%AE%E6%B3%A8%E6%84%8F%E4%BA%8B%E9%A0%85&text=%E4%BF%AE%E7%90%86%E3%81%A7%E3%81%8A%E6%80%A5%E3%81%8E%E3%81%AE,%E3%81%BE%E3%81%99%E3%82%88%E3%81%86%E3%81%8A%E9%A1%98%E3%81%84%E7%94%B3%E3%81%97%E4%B8%8A%E3%81%92%E3%81%BE%E3%81%99%E3%80%82&text=%E5%8F%97%E4%BB%98%E5%AE%8C%E4%BA%86%E5%BE%8C%E3%80%81%E3%82%B5%E3%83%BC%E3%83%93%E3%82%B9%E6%8B%85%E5%BD%93,%E3%81%AE%E3%81%BB%E3%81%A9%E3%81%8A%E9%A1%98%E3%81%84%E7%94%B3%E3%81%97%E4%B8%8A%E3%81%92%E3%81%BE%E3%81%99%E3%80%82",提供,採用関連担当,要確認候補,10,"https://www.pcc-paloma.jp/contact/#:~:text=%E3%81%8A%E9%9B%BB%E8%A9%B1%E3%81%84%E3%81%9F%E3%81%A0%E3%81%8F%E5%89%8D%E3%81%AE%E6%B3%A8%E6%84%8F%E4%BA%8B%E9%A0%85&text=%E4%BF%AE%E7%90%86%E3%81%A7%E3%81%8A%E6%80%A5%E3%81%8E%E3%81%AE,%E3%81%BE%E3%81%99%E3%82%88%E3%81%86%E3%81%8A%E9%A1%98%E3%81%84%E7%94%B3%E3%81%97%E4%B8%8A%E3%81%92%E3%81%BE%E3%81%99%E3%80%82&text=%E5%8F%97%E4%BB%98%E5%AE%8C%E4%BA%86%E5%BE%8C%E3%80%81%E3%82%B5%E3%83%BC%E3%83%93%E3%82%B9%E6%8B%85%E5%BD%93,%E3%81%AE%E3%81%BB%E3%81%A9%E3%81%8A%E9%A1%98%E3%81%84%E7%94%B3%E3%81%97%E4%B8%8A%E3%81%92%E3%81%BE%E3%81%99%E3%80%82",株式会社パロマ様の採用情報を拝見し、採用関連担当の提供様にお力添えできる内容がありご連絡しました。
株式会社パロマ,"https://www.pcc-paloma.jp/contact/#:~:text=%E3%81%8A%E9%9B%BB%E8%A9%B1%E3%81%84%E3%81%9F%E3%81%A0%E3%81%8F%E5%89%8D%E3%81%AE%E6%B3%A8%E6%84%8F%E4%BA%8B%E9%A0%85&text=%E4%BF%AE%E7%90%86%E3%81%A7%E3%81%8A%E6%80%A5%E3%81%8E%E3%81%AE,%E3%81%BE%E3%81%99%E3%82%88%E3%81%86%E3%81%8A%E9%A1%98%E3%81%84%E7%94%B3%E3%81%97%E4%B8%8A%E3%81%92%E3%81%BE%E3%81%99%E3%80%82&text=%E5%8F%97%E4%BB%98%E5%AE%8C%E4%BA%86%E5%BE%8C%E3%80%81%E3%82%B5%E3%83%BC%E3%83%93%E3%82%B9%E6%8B%85%E5%BD%93,%E3%81%AE%E3%81%BB%E3%81%A9%E3%81%8A%E9%A1%98%E3%81%84%E7%94%B3%E3%81%97%E4%B8%8A%E3%81%92%E3%81%BE%E3%81%99%E3%80%82",第三者,採用関連担当,要確認候補,10,"https://www.pcc-paloma.jp/contact/#:~:text=%E3%81%8A%E9%9B%BB%E8%A9%B1%E3%81%84%E3%81%9F%E3%81%A0%E3%81%8F%E5%89%8D%E3%81%AE%E6%B3%A8%E6%84%8F%E4%BA%8B%E9%A0%85&text=%E4%BF%AE%E7%90%86%E3%81%A7%E3%81%8A%E6%80%A5%E3%81%8E%E3%81%AE,%E3%81%BE%E3%81%99%E3%82%88%E3%81%86%E3%81%8A%E9%A1%98%E3%81%84%E7%94%B3%E3%81%97%E4%B8%8A%E3%81%92%E3%81%BE%E3%81%99%E3%80%82&text=%E5%8F%97%E4%BB%98%E5%AE%8C%E4%BA%86%E5%BE%8C%E3%80%81%E3%82%B5%E3%83%BC%E3%83%93%E3%82%B9%E6%8B%85%E5%BD%93,%E3%81%AE%E3%81%BB%E3%81%A9%E3%81%8A%E9%A1%98%E3%81%84%E7%94%B3%E3%81%97%E4%B8%8A%E3%81%92%E3%81%BE%E3%81%99%E3%80%82",株式会社パロマ様の採用情報を拝見し、採用関連担当の第三者様にお力添えできる内容がありご連絡しました。
